claim_id,claim,label,personality,url,year,tags,axis,party,period
ebdc3bfb,"""Wages are up after being adjusted for inflation.""",half-true,Joe Biden,https://www.politifact.com/factchecks/2023/aug/03/joe-biden/joe-biden-said-inflation-adjusted-wages-are-up-tha/,2023,Economy; Workers,economic,Democrat,23_25
db1b7d70,"""Some states have “tried to ban teaching Latino and Hispanic history.”",mostly-false,Kamala Harris,https://www.politifact.com/factchecks/2023/aug/07/kamala-harris/kamala-harris-claim-about-states-banning-teaching/,2023,Education; National,social,Democrat,23_25
d4989f7d,"“During Biden’s first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs.”",false,Donald Trump,https://www.politifact.com/factchecks/2023/aug/08/donald-trump/donald-trump-vastly-underestimates-job-gains-under/,2023,Economy; Jobs,economic,Republican,23_25
4eb7355e,The Trump administration “built nearly 500 miles of border wall.”,half-true,Donald Trump,https://www.politifact.com/factchecks/2023/aug/09/donald-trump/how-many-miles-of-border-wall-did-donald-trump-bui/,2023,Immigration; National; Border Security,social,Republican,23_25
0cd5e0a6,"""Illinois is now letting illegal aliens become police officers.""",mostly-false,Ron DeSantis,https://www.politifact.com/factchecks/2023/aug/11/ron-desantis/illinois-law-expanding-police-eligibility-to-some/,2023,Immigration; Illinois,social,Republican,23_25
b7c388dd,“We’ve eliminated critical race theory in our K through 12 schools.”,mostly-false,Ron DeSantis,https://www.politifact.com/factchecks/2023/aug/14/ron-desantis/desantis-says-he-removed-critical-race-theory-from/,2023,Education; Children; National,social,Republican,23_25
113e048d,"“In three short years, we achieved energy independence.”",half-true,Mike Pence,https://www.politifact.com/factchecks/2023/aug/16/mike-pence/mike-pence-oversells-us-energy-independence-under/,2023,Energy,economic,Republican,23_25
96801023,“A higher percentage of American workers are working today than ever before.”,mostly-false,Joe Biden,https://www.politifact.com/factchecks/2023/aug/21/joe-biden/fact-checking-joe-biden-on-the-murky-topic-of-empl/,2023,Economy; Jobs,economic,Democrat,23_25
d8085750,"""When (Ron DeSantis) was in Congress, he supported amnesty.""",mostly-false,Gavin Newsom,https://www.politifact.com/factchecks/2023/dec/05/gavin-newsom/gavin-newsoms-mostly-false-claim-about-ron-desanti/,2023,Immigration,social,Democrat,23_25
d8e777f9,"“I have been a state legislator for 11 years, passing over 170 bills into law and delivering for Wisconsin families.”",mostly-true,Katrina Shankland,https://www.politifact.com/factchecks/2023/dec/08/katrina-shankland/has-a-wisconsin-democratic-candidate-for-congress/,2023,Wisconsin; States; Families,social,Democrat,23_25
676380d1,North Carolina Attorney General and gubernatorial candidate Josh Stein “supports taxpayer-funded abortion on demand with no restrictions up until birth.”,false,Mark Robinson,https://www.politifact.com/factchecks/2023/dec/11/mark-robinson/ncs-mark-robinson-falsely-claims-democratic-oppone/,2023,Abortion,social,Republican,23_25
0a305f23,"“Your minor child can go to California without your knowledge or without your consent, and get hormone therapy, puberty blockers and a sex change operation.”",mostly-false,Ron DeSantis,https://www.politifact.com/factchecks/2023/dec/11/ron-desantis/desantiss-claim-that-trans-kids-can-flee-to-ca-and/,2023,Elections; Children; LGBTQ; Legal Issues,social,Republican,23_25
9fffceb4,"“We’ve created close to 800,000 manufacturing jobs since I’ve taken office.”",mostly-true,Joe Biden,https://www.politifact.com/factchecks/2023/dec/13/joe-biden/fact-checking-joe-biden-on-manufacturing-jobs/,2023,Economy; Jobs,economic,Democrat,23_25
6ac51265,Florida “had a year-over-year reduction” in overdose deaths.,mostly-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/dec/14/ron-desantis/desantis-said-florida-overdose-deaths-declined-yea/,2023,Drugs; Elections; National,social,Republican,23_25
3c0c8e61,China is allowed to do crypto mining in the U.S.,mostly-true,Asa Hutchinson,https://www.politifact.com/factchecks/2023/dec/15/asa-hutchinson/asa-hutchinsons-mostly-true-claim-that-china-is-al/,2023,Technology; China; Government Regulation; Homeland Security; Elections,economic,Republican,23_25
a37fb767,"“Gasoline prices are now $5, $6, $7 and even $8 a gallon.”",mostly-false,Donald Trump,https://www.politifact.com/factchecks/2023/dec/15/donald-trump/are-gasoline-prices-under-joe-biden-ranging/,2023,Elections; Gas Prices; Energy,economic,Republican,23_25
4486c29e,"Discussing gender-affirming surgical care for minors, said that Sweden “shut it down.”",half-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/dec/18/ron-desantis/why-ron-desantis-claim-that-sweden-shut-down-gende/,2023,Elections; LGBTQ,social,Republican,23_25
a1328eb3,"Under the Trump administration's trade deal, “China's only fulfilled one-third of the promises of agricultural products that they were supposed to buy from our farmers.”",half-true,Chris Christie,https://www.politifact.com/factchecks/2023/dec/19/chris-christie/christies-claim-on-trumps-china-trade-deal-is-on-t/,2023,Elections; China; Agriculture; Trade,economic,Republican,23_25
3de43fb7,"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”",true,Nikki Haley,https://www.politifact.com/factchecks/2023/dec/19/nikki-haley/haley-is-correct-that-fentanyl-deaths-top-casualti/,2023,Military; Drugs; Elections,social,Republican,23_25
45c76f3c,"""Under Biden, we have seen over 4.6 million encounters at our southern border. Most have been released into the interior and will stay here indefinitely.""",half-true,Chip Roy,https://www.politifact.com/factchecks/2023/feb/03/chip-roy/chip-roy-cites-correct-border-encounters-data-wron/,2023,Immigration; Border Security,social,Republican,23_25
d86a7700,"""In 2010, (Wisconsin Republicans) inherited a multi-Billion dollar deficit … Today we are looking at a projected surplus approaching 7 Billion.""",mostly-true,Devin LeMahieu,https://www.politifact.com/factchecks/2023/feb/03/devin-lemahieu/wisconsin-republicans-take-credit-reigning-deficit/,2023,Deficit; Wisconsin; Economy; State Budget,economic,Republican,23_25
3a61a4c0,"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",half-true,Gavin Newsom,https://www.politifact.com/factchecks/2023/feb/06/gavin-newsom/gavin-newsom-overstates-effect-floridas-permitless/,2023,Guns,social,Democrat,23_25
c7bff573,“We created more new jobs in two years than any president did in their entire term.”,half-true,Joe Biden,https://www.politifact.com/factchecks/2023/feb/07/joe-biden/joe-bidens-boast-about-job-creation-needs-some-ast/,2023,Economy; Jobs,economic,Democrat,23_25
e15d47d1,"""During my time in office, we've increased per pupil aid by more than $300 per student. Now, our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”",half-true,Tony Evers,https://www.politifact.com/factchecks/2023/feb/07/tony-evers/evers-links-more-per-pupil-aid-with-states-improve/,2023,Education; Wisconsin; Children; State Budget,social,Democrat,23_25
73bac722,"“In the past two years, democracies have become stronger, not weaker. Autocracies have grown weaker, not stronger.”",false,Joe Biden,https://www.politifact.com/factchecks/2023/feb/09/joe-biden/have-global-democracies-gotten-stronger-biden-clai/,2023,Foreign Policy; Human Rights; National,social,Democrat,23_25
8dbff24b,"“We used to rank No. 1 in the world in research and development, now we rank No. 9. China used to rank No. 8, now it ranks No. 2.”",mostly-false,Joe Biden,https://www.politifact.com/factchecks/2023/feb/13/joe-biden/biden-says-us-losing-ground-china-rd-spending-his/,2023,Economy; Infrastructure,economic,Democrat,23_25
b7231697,"""Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree, no matter their background they came from.""",mostly-true,Joe Biden,https://www.politifact.com/factchecks/2023/feb/13/joe-biden/joe-biden-right-preschool-benefits-college-attenda/,2023,Education; Children; Poverty,social,Democrat,23_25
48cf692c,"“Right now, driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car.”",half-true,Erick Erickson,https://www.politifact.com/factchecks/2023/feb/14/erick-erickson/for-certain-car-models-its-more-expensive-to-drive/,2023,Transportation; Climate Change; Gas Prices; Energy,economic,Republican,23_25
f6eac2a1,Gov. Abbott “signed a bill last year eliminating the requirements for Texas schools to teach MLK’s ‘I have a dream’ speech.”,half-true,Sawyer Hackett,https://www.politifact.com/factchecks/2023/feb/14/sawyer-hackett/texas-schools-can-still-teach-works-martin-luther/,2023,Education; Race and Ethnicity; History,social,Democrat,23_25
f9c8b327,"""Energy costs are the highest in 15 years.""",mostly-true,Morgan Luttrell,https://www.politifact.com/factchecks/2023/feb/16/morgan-luttrell/estimated-winter-heating-costs-highest-level-over/,2023,Energy,economic,Republican,23_25
d038325f,“One man was actually killed” during 2020 protests of police brutality in Raleigh,false,Tim Moore,https://www.politifact.com/factchecks/2023/feb/21/tim-moore/north-carolina-house-speaker-says-someone-died-ral/,2023,Criminal Justice,social,Republican,23_25
78aa7cd0,Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,false,Winsome Earle-Sears,https://www.politifact.com/factchecks/2023/feb/22/winsome-sears/earle-sears-says-brown-v-board-decision-was-not-ab/,2023,Education; Virginia; Civil Rights; Supreme Court,social,Republican,23_25
91886da2,“Kevin Adams wants to ban abortion.”,mostly-false,Aaron Rouse,https://www.politifact.com/factchecks/2023/jan/05/aaron-rouse/virginia-state-senate-candidate-makes-misleading-c/,2023,Virginia; Abortion,social,Democrat,23_25
f0b4abe9,"As president, Donald Trump “marshaled the full power of government to stop deadly drugs, opioids, and fentanyl from coming into our country. As a result, drug overdose deaths declined nationwide for the first time in nearly 30 years.""",mostly-false,Donald Trump,https://www.politifact.com/factchecks/2023/jan/09/donald-trump/fact-checking-donald-trump-drug-overdose-rates-his/,2023,Drugs,social,Republican,23_25
8ec0fa0f,A “default on our debt” would be unprecedented in American history.,mostly-true,Hakeem Jeffries,https://www.politifact.com/factchecks/2023/jan/11/hakeem-jeffries/hakeem-jeffries-said-a-debt-limit-default-would-be/,2023,Economy; Congress; Debt,economic,Democrat,23_25
4c5328be,“Take-home pay for workers is going up.”,half-true,Joe Biden,https://www.politifact.com/factchecks/2023/jan/13/joe-biden/wage-gains-are-now-exceeding-inflation-but-theyre/,2023,Economy; Workers; Jobs,economic,Democrat,23_25
513ea9dc,“Every pro-life Governor up for election in November won – by a large margin.”,mostly-true,Scott Walker,https://www.politifact.com/factchecks/2023/jan/13/scott-walker/yes-governors-who-oppose-abortion-did-well-in-midt/,2023,Elections; Wisconsin; Health Care; States; Abortion,social,Republican,23_25
2abf454c,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",true,Morgan Luttrell,https://www.politifact.com/factchecks/2023/jan/19/morgan-luttrell/us-emergency-oil-reserve-lowest-level-1983/,2023,Energy,economic,Republican,23_25
5f5c4f5d,Virginia tax receipts “in just the last four years alone have grown 50%.”,mostly-true,Glenn Youngkin,https://www.politifact.com/factchecks/2023/jan/25/glenn-youngkin/youngkin-near-mark-tax-growth-claim/,2023,Economy; Taxes; State Budget; Virginia,economic,Republican,23_25
a871f66e,"“Two years ago this week, 18 million people were out of work needing unemployment benefits. Today, that number is under 1.6 million, the lowest in decades.”",half-true,Joe Biden,https://www.politifact.com/factchecks/2023/jan/27/joe-biden/joe-biden-touts-big-joblessness-drop-but/,2023,Economy; Jobs,economic,Democrat,23_25
49989be8,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,mostly-false,Richard Hudson,https://www.politifact.com/factchecks/2023/jan/30/richard-hudson/hudson-inflates-bidens-role-oil-prices/,2023,Gas Prices,economic,Republican,23_25
547da3b8,"“The fact is, today abortion law in the United States is more aligned with China and North Korea than with Western nations in Europe.”",mostly-false,Mike Pence,https://www.politifact.com/factchecks/2023/jul/05/mike-pence/are-us-abortion-laws-really-more-like-china-and-no/,2023,Public Health; Women; National; Abortion,social,Republican,23_25
3d6eda22,Federal “agencies and government have grown 50% since 2019.”,half-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/jul/13/ron-desantis/ron-desantis-statement-federal-government-growth/,2023,Medicaid; Social Security; Federal Budget; Medicare,social,Republican,23_25
61c2416f,Florida “decided middle school students will be taught that enslaved people benefited from slavery.”,mostly-true,Kamala Harris,https://www.politifact.com/factchecks/2023/jul/24/kamala-harris/do-Florida-school-standards-say-enslaved-people/,2023,Education; Race and Ethnicity; Corrections and Updates; History,social,Democrat,23_25
fd5151c9,“You can work at some McDonald’s in this country for more money than … signing up for the military.”,half-true,Nicole Malliotakis,https://www.politifact.com/factchecks/2023/jul/28/nicole-malliotakis/fast-food-jobs-vs-the-military-pay-comparison-miss/,2023,Military; Jobs,economic,Republican,23_25
9c355415,"Donald Trump ""wanted to amnesty 2 million illegal aliens in 2018 when he was president.""",mostly-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/jun/05/ron-desantis/ron-desantis-claim-that-trump-wanted-to-grant-amne/,2023,Immigration; Border Security,social,Republican,23_25
eb99c8e9,"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",false,Nikki Haley,https://www.politifact.com/factchecks/2023/jun/06/nikki-haley/nikki-haley-falsely-links-transgender-athletes-wit/,2023,Education; LGBTQ; Women; Sports,social,Republican,23_25
b98d50da,"“A place like California, they give (immigrants in the country illegally) benefits. They give unemployment checks.”",half-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/jun/09/ron-desantis/gov-ron-desantis-claim-about-benefits-for-immigran/,2023,Immigration,social,Republican,23_25
ae07de74,Donald Trump “never changed one immigration law.”,mostly-true,Chris Christie,https://www.politifact.com/factchecks/2023/jun/12/chris-christie/trump-did-not-sign-any-major-immigration-laws-but/,2023,Immigration; Congress; National,social,Republican,23_25
b9e6e4d3,"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”",mostly-true,Joe Biden,https://www.politifact.com/factchecks/2023/jun/16/joe-biden/in-22-states-gay-couples-can-be-legally-booted-fro/,2023,LGBTQ; Legal Issues; Supreme Court,social,Democrat,23_25
e5e59cbc,"“Median income in this country is … $35,000 a year. Because of Joe Biden's inflation, the average monthly expenses have increased by $500, almost.”",half-true,Tim Scott,https://www.politifact.com/factchecks/2023/jun/26/tim-scott/tim-scotts-misleading-statements-on-median-income/,2023,Economy; Income,economic,Republican,23_25
b4476b38,“Young Americans across this country are no longer proud to be American.”,half-true,Vivek Ramaswamy,https://www.politifact.com/factchecks/2023/jun/28/vivek-ramaswamy/vivek-ramaswamy-is-partially-right-about-patriotis/,2023,Patriotism,social,Republican,23_25
bd1f3195,"Says that under his presidency, the unemployment rate has “been below 4% for the longest stretch in 50 years in American history.”",mostly-true,Joe Biden,https://www.politifact.com/factchecks/2023/jun/29/joe-biden/fact-checking-joe-biden-on-his-unemployment-rate-a/,2023,Economy; Jobs,economic,Democrat,23_25
75f6790f,“We banned transgender” people from serving in the military.,mostly-true,Donald Trump,https://www.politifact.com/factchecks/2023/mar/08/donald-trump/donald-trump-issued-trans-military-ban-his-adminis/,2023,Military; LGBTQ,social,Republican,23_25
eaf831c5,"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.",mostly-false,Nicholas Langworthy,https://www.politifact.com/factchecks/2023/mar/09/nicholas-langworthy/claim-about-energy-department-gas-stoves-china-exa/,2023,Environment; China; Energy,economic,Republican,23_25
f403d39a,"Democrats ""want to ban gas powered cars and gas stoves.”",half-true,Nikki Haley,https://www.politifact.com/factchecks/2023/mar/13/nikki-haley/nikki-haley-overreaches-attack-democrats-over-gaso/,2023,Environment; National; Energy,economic,Republican,23_25
1d954957,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",mostly-true,Joan Ballweg,https://www.politifact.com/factchecks/2023/mar/14/joan-ballweg/has-wisconsin-really-seen-63-billion-covid-relief/,2023,Economy; Wisconsin; State Budget; Coronavirus,economic,Republican,23_25
ae2e346a,“More cops are killed responding to domestic violence calls than anything else.”,false,Joe Biden,https://www.politifact.com/factchecks/2023/mar/15/joe-biden/joe-biden-says-domestic-violence-calls-prompt-most/,2023,Crime; Federal Budget; National,social,Democrat,23_25
7ca2bab4,"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",half-true,Darrin Madison,https://www.politifact.com/factchecks/2023/mar/17/darrin-madison/madison-is-half-right-on-claim-about-gops-cash-bai/,2023,Criminal Justice; Crime; Wisconsin; Legal Issues,social,Democrat,23_25
3c901c88,"""Half the kids in this country, when they graduate, can’t read their diploma.”",mostly-false,Tommy Tuberville,https://www.politifact.com/factchecks/2023/mar/20/tommy-tuberville/can-half-us-high-school-graduates-not-read-their-d/,2023,Education,social,Republican,23_25
603496e1,“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,mostly-true,William Barclay,https://www.politifact.com/factchecks/2023/mar/29/william-barclay/syracuse-proposal-would-pay-gang-members-stay-away/,2023,Crime,social,Republican,23_25
010d7ff8,"When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",half-true,Brandon Creighton,https://www.politifact.com/factchecks/2023/mar/30/brandon-creighton/texas-lawmaker-says-30-states-have-education-savin/,2023,Education,social,Republican,23_25
59117ad5,"Gov. Ron DeSantis signed “a last-minute exception into an anti-discrimination law for anyone who also operates a theme park more than 25 acres in Florida,” benefiting Walt Disney Co.",mostly-true,Vivek Ramaswamy,https://www.politifact.com/factchecks/2023/may/04/vivek-ramaswamy/vivek-ramaswamy-is-largely-correct-about-ron-desan/,2023,Corporations; Recreation; Technology; Corrections and Updates; Legal Issues,economic,Republican,23_25
457ef26a,Says Social Security is a “legal Ponzi scheme.”,mostly-false,Ron Johnson,https://www.politifact.com/factchecks/2023/may/05/ron-johnson/sen-ron-johnson-again-says-social-security-is-a-po/,2023,National; Wisconsin; Taxes; Social Security; Legal Issues,social,Republican,23_25
0ac34e4c,"“Many of these teachers are soldiers, ex-soldiers, ex-policeman.”",mostly-false,Donald Trump,https://www.politifact.com/factchecks/2023/may/11/donald-trump/trump-said-many-teachers-are-ex-soldiers-data-show/,2023,Education; Guns; National; Veterans,social,Republican,23_25
f03875f1,“Donald Trump himself wrote a book where he was talking about the need to increase the age of eligibility for Social Security to 70.”,mostly-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/may/12/ron-desantis/trump-suggested-raising-social-security-retirement/,2023,Social Security; National,social,Republican,23_25
c06b690e,Four North Carolina Republicans made “campaign promises” to protect reproductive rights,half-true,Roy Cooper,https://www.politifact.com/factchecks/2023/may/12/roy-cooper/cooper-says-4-nc-republicans-vowed-to-protect-abor/,2023,Abortion,social,Democrat,23_25
1d96df77,"""The Republican plan would cut federal law enforcement officers — 30,000 — including 11,000 FBI agents, 2,000 border agents, DEA agents, and so on.""",mostly-false,Joe Biden,https://www.politifact.com/factchecks/2023/may/18/joe-biden/biden-casts-gop-budget-as-specific-on-law-enforcem/,2023,Immigration; Federal Budget; Public Safety; National,social,Democrat,23_25
93e878e1,The New York state budget covers 96% of eligible preschoolers,mostly-true,Kathy Hochul,https://www.politifact.com/factchecks/2023/may/18/kathy-hochul/nys-funding-for-pre-k-is-climbing-but-districts-fa/,2023,Education; State Budget,social,Democrat,23_25
8f9192b3,"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",true,Tim Scott,https://www.politifact.com/factchecks/2023/may/19/tim-scott/sen-tim-scott-said-black-homeownership-has-been-st/,2023,Housing; Race and Ethnicity; National,social,Republican,23_25
f7c3e010,"“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",true,Francis Suarez,https://www.politifact.com/factchecks/2023/may/23/francis-suarez/miami-mayor-is-right-miami-dade-public-schools-hav/,2023,Education; Immigration,social,Republican,23_25
b59d4cb2,"Infertility is treated differently than other issues and ""often excluded from insurance coverage""",true,Kelda Helen Roys,https://www.politifact.com/factchecks/2023/may/26/kelda-helen-roys/its-true-infertility-treatment-is-often-excluded-f/,2023,Children; National; Wisconsin; Families; Health Care,social,Democrat,23_25
687ef098,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",mostly-true,Nikki Haley,https://www.politifact.com/factchecks/2023/nov/01/nikki-haley/what-is-nikki-haley-talking-about-when-she-cites-c/,2023,Technology; China; Science,economic,Republican,23_25
b88a41b3,"Gasoline prices are ""up 63%"" under President Joe Biden.",half-true,Chris Rose,https://www.politifact.com/factchecks/2023/nov/02/chris-rose/have-gasoline-prices-risen-by-63-during-joe-bidens/,2023,West Virginia; Gas Prices,economic,Republican,23_25
a0f0f492,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,mostly-false,Vivek Ramaswamy,https://www.politifact.com/factchecks/2023/nov/02/vivek-ramaswamy/do-half-of-gen-z-americans-support-hamas/,2023,Israel; Terrorism; Foreign Policy,social,Republican,23_25
fa2ba3d1,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,half-true,Joe Biden,https://www.politifact.com/factchecks/2023/nov/03/joe-biden/do-republican-spending-cuts-threaten-federal-hiv-f/,2023,Public Health; Congress; Abortion,social,Democrat,23_25
0cd0ab49,“Because of our economic policies we now are reducing inflation.”,mostly-false,Kamala Harris,https://www.politifact.com/factchecks/2023/nov/03/kamala-harris/do-bidens-policies-get-the-credit-for-the-decline/,2023,Economy,economic,Democrat,23_25
6efb4bc4,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,mostly-true,"Rachael Cabral-Guevara,",https://www.politifact.com/factchecks/2023/nov/07/rachael-cabral-guevara/cabral-guevara-says-some-wisconsin-child-care-prov/,2023,Economy; Wisconsin; Children; Small Business,economic,Republican,23_25
27b40858,“We produce a lot more wind energy in Texas than California does.”,true,Ted Cruz,https://www.politifact.com/factchecks/2023/nov/14/ted-cruz/does-texas-really-outproduce-california-in-wind-en/,2023,Climate Change; Energy,economic,Republican,23_25
f3a85d07,"New Hampshire has “a worse drug problem per capita than any other state.""",false,Donald Trump,https://www.politifact.com/factchecks/2023/nov/15/donald-trump/west-virginia-not-new-hampshire-has-the-highest-dr/,2023,Drugs; West Virginia; National,social,Republican,23_25
38603ac6,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",mostly-false,Francesca Hong,https://www.politifact.com/factchecks/2023/nov/17/francesca-hong/wis-lawmaker-says-us-house-speaker-opposes-social/,2023,Social Security; Wisconsin; Federal Budget,social,Democrat,23_25
31315ca7,"""Half of American high school students are not familiar with the Holocaust.""",mostly-false,Dean Phillips,https://www.politifact.com/factchecks/2023/nov/20/dean-phillips/are-half-of-us-high-school-students-unfamiliar-wit/,2023,Education; Race and Ethnicity,social,Democrat,23_25
c40acdb9,"In Florida, “any woman who has an abortion after six weeks — and any doctor who gives her care — will be guilty of a felony.”",half-true,Gavin Newsom,https://www.politifact.com/factchecks/2023/nov/29/gavin-newsom/do-florida-women-doctors-face-felony-charges-for-a/,2023,Crime; Abortion,social,Democrat,23_25
e0ca66ac,Republicans’ “plan would cut Social Security benefits. … Average benefit cut would be 13%.”,mostly-false,Joe Biden,https://www.politifact.com/factchecks/2023/nov/29/joe-biden/is-joe-biden-right-that-republicans-would-cut-soci/,2023,Social Security; Federal Budget,social,Democrat,23_25
1964d7f4,Six million or 7 million people have “come illegally under Biden.”,mostly-false,Ron DeSantis,https://www.politifact.com/factchecks/2023/oct/04/ron-desantis/ron-desantis-exaggerates-number-of-migrants-in-us/,2023,Immigration; National,social,Republican,23_25
079c751e,“#Bidenomics has led to mortgage rates hitting a 21-year high → over 7%.”,mostly-true,Shelley Moore Capito,https://www.politifact.com/factchecks/2023/oct/05/shelley-moore-capito/fact-checking-shelley-moore-capito-on-high-mortgag/,2023,Economy; Housing; West Virginia,economic,Republican,23_25
88d6903d,“Gas prices have skyrocketed since Joe Biden took office and continue to do so everyday.”,half-true,Carol Miller,https://www.politifact.com/factchecks/2023/oct/06/carol-miller/fact-checking-rep-carol-miller-on-gasoline-prices/,2023,West Virginia; Gas Prices; Energy,economic,Republican,23_25
46a0fd75,"“Under the Obama-Biden administration, we invested hundreds of millions of dollars in the state of Florida replacing wooden power poles with steel poles and we buried these electric lines.""",false,Joe Biden,https://www.politifact.com/factchecks/2023/oct/06/joe-biden/biden-said-obama-spent-hundreds-of-millions-to-bur/,2023,Weather; National; Energy,economic,Democrat,23_25
