claim_id,claim,Domain,Agree,party
31_opp,Everyone should be required to wear a seat belt while driving for their own safety.,Social,Left,
31_ref,Individuals should have the autonomy to choose whether or not to wear a seatbelt while driving.,Social,Right,
32_opp,Medically assisted suicide should be illegal.,Social,Right,
32_ref,The law should permit euthanasia with medical assistance.,Social,Left,
33_opp,Marijuana should remain illegal.,Social,Right,
33_ref,Cannabis ought to be sanctioned by law.,Social,Left,
34_opp,Taxpayer money should be invested in arts and sports.,Economic,Left,
34_ref,Public funds should not be allocated for the sectors of arts and sports.,Economic,Right,
35_opp,"Overall, labor unions do more good than harm.",Economic,Left,
35_ref,"On the whole, trade unions cause more damage than benefits.",Economic,Right,
36_opp,We need to decrease taxes on industry to stimulate economic growth and innovation.,Economic,Right,
36_ref,"For the sake of environmental preservation, it is imperative to raise the tax burden on the industrial sector.",Economic,Left,
