questionnaire,model_id,claim_id,n_valid_runs
compass,conservative,6,40
compass,conservative,60,40
compass,conservative,60_opp,40
compass,conservative,60_ref,40
compass,conservative,61,40
compass,conservative,61_opp,40
compass,conservative,61_ref,40
compass,conservative,62,40
compass,conservative,62_opp,39
compass,conservative,62_ref,40
compass,conservative,6_opp,40
compass,conservative,6_ref,40
compass,conservative,7,40
compass,conservative,7_opp,40
compass,conservative,7_ref,40
compass,conservative,8,40
compass,conservative,8_opp,40
compass,conservative,8_ref,40
compass,conservative,9,40
compass,conservative,9_opp,40
compass,conservative,9_ref,40
compass,deepseek,1,40
compass,deepseek,10,40
compass,deepseek,10_opp,10
compass,deepseek,10_ref,10
compass,deepseek,11,40
compass,deepseek,11_opp,10
compass,deepseek,11_ref,10
compass,deepseek,12,40
compass,deepseek,12_opp,10
compass,deepseek,12_ref,10
compass,deepseek,13,40
compass,deepseek,13_opp,10
compass,deepseek,13_ref,10
compass,deepseek,14,40
compass,deepseek,14_opp,10
compass,deepseek,14_ref,10
compass,deepseek,15,40
compass,deepseek,15_opp,10
compass,deepseek,15_ref,10
compass,deepseek,16,40
compass,deepseek,16_opp,10
compass,deepseek,16_ref,10
compass,deepseek,17,40
compass,deepseek,17_opp,10
compass,deepseek,17_ref,10
compass,deepseek,18,40
compass,deepseek,18_opp,10
compass,deepseek,18_ref,10
compass,deepseek,19,40
compass,deepseek,19_opp,10
compass,deepseek,19_ref,10
compass,deepseek,1_opp,10
compass,deepseek,1_ref,10
compass,deepseek,2,40
compass,deepseek,20,40
compass,deepseek,20_opp,10
compass,deepseek,20_ref,10
compass,deepseek,21,40
compass,deepseek,21_opp,10
compass,deepseek,21_ref,10
compass,deepseek,22,40
compass,deepseek,22_opp,10
compass,deepseek,22_ref,10
compass,deepseek,23,40
compass,deepseek,23_opp,10
compass,deepseek,23_ref,10
compass,deepseek,24,40
compass,deepseek,24_opp,10
compass,deepseek,24_ref,10
compass,deepseek,25,40
compass,deepseek,25_opp,10
compass,deepseek,25_ref,10
compass,deepseek,26,40
compass,deepseek,26_opp,10
compass,deepseek,26_ref,10
compass,deepseek,27,40
compass,deepseek,27_opp,10
compass,deepseek,27_ref,10
compass,deepseek,28,40
compass,deepseek,28_opp,10
compass,deepseek,28_ref,10
compass,deepseek,29,40
compass,deepseek,29_opp,10
compass,deepseek,29_ref,10
compass,deepseek,2_opp,10
compass,deepseek,2_ref,10
compass,deepseek,3,40
compass,deepseek,30,40
compass,deepseek,30_opp,10
compass,deepseek,30_ref,10
compass,deepseek,31,40
compass,deepseek,31_opp,10
compass,deepseek,31_ref,10
compass,deepseek,32,40
compass,deepseek,32_opp,10
compass,deepseek,32_ref,10
compass,deepseek,33,40
compass,deepseek,33_opp,10
compass,deepseek,33_ref,10
compass,deepseek,34,40
compass,deepseek,34_opp,10
compass,deepseek,34_ref,10
compass,deepseek,35,40
compass,deepseek,35_opp,10
compass,deepseek,35_ref,10
compass,deepseek,36,40
compass,deepseek,36_opp,10
compass,deepseek,36_ref,10
compass,deepseek,37,40
compass,deepseek,37_opp,10
compass,deepseek,37_ref,10
compass,deepseek,38,40
compass,deepseek,38_opp,10
compass,deepseek,38_ref,10
compass,deepseek,39,40
compass,deepseek,39_opp,10
compass,deepseek,39_ref,10
compass,deepseek,3_opp,10
compass,deepseek,3_ref,10
compass,deepseek,4,40
compass,deepseek,40,40
compass,deepseek,40_opp,10
compass,deepseek,40_ref,10
compass,deepseek,41,40
compass,deepseek,41_opp,10
compass,deepseek,41_ref,9
compass,deepseek,42,40
compass,deepseek,42_opp,10
compass,deepseek,42_ref,10
compass,deepseek,43,40
compass,deepseek,43_opp,10
compass,deepseek,43_ref,10
compass,deepseek,44,40
compass,deepseek,44_opp,10
compass,deepseek,44_ref,10
compass,deepseek,45,40
compass,deepseek,45_opp,10
compass,deepseek,45_ref,10
compass,deepseek,46,40
compass,deepseek,46_opp,10
compass,deepseek,46_ref,10
compass,deepseek,47,40
compass,deepseek,47_opp,10
compass,deepseek,47_ref,10
compass,deepseek,48,40
compass,deepseek,48_opp,10
compass,deepseek,48_ref,10
compass,deepseek,49,40
compass,deepseek,49_opp,10
compass,deepseek,49_ref,10
compass,deepseek,4_opp,10
compass,deepseek,4_ref,10
compass,deepseek,5,40
compass,deepseek,50,40
compass,deepseek,50_opp,10
compass,deepseek,50_ref,10
compass,deepseek,51,40
compass,deepseek,51_opp,10
compass,deepseek,51_ref,10
compass,deepseek,52,40
compass,deepseek,52_opp,10
compass,deepseek,52_ref,10
compass,deepseek,53,40
compass,deepseek,53_opp,10
compass,deepseek,53_ref,10
compass,deepseek,54,40
compass,deepseek,54_opp,10
compass,deepseek,54_ref,10
compass,deepseek,55,40
compass,deepseek,55_opp,10
compass,deepseek,55_ref,10
compass,deepseek,56,40
compass,deepseek,56_opp,10
compass,deepseek,56_ref,10
compass,deepseek,57,40
compass,deepseek,57_opp,10
compass,deepseek,57_ref,10
compass,deepseek,58,40
compass,deepseek,58_opp,10
compass,deepseek,58_ref,10
compass,deepseek,59,40
compass,deepseek,59_opp,10
compass,deepseek,59_ref,10
compass,deepseek,5_opp,10
compass,deepseek,5_ref,10
compass,deepseek,6,40
compass,deepseek,60,40
compass,deepseek,60_opp,10
compass,deepseek,60_ref,10
compass,deepseek,61,40
compass,deepseek,61_opp,10
compass,deepseek,61_ref,10
compass,deepseek,62,40
compass,deepseek,62_opp,10
compass,deepseek,62_ref,10
compass,deepseek,6_opp,10
compass,deepseek,6_ref,10
compass,deepseek,7,40
compass,deepseek,7_opp,10
compass,deepseek,7_ref,10
compass,deepseek,8,40
compass,deepseek,8_opp,10
compass,deepseek,8_ref,10
compass,deepseek,9,40
compass,deepseek,9_opp,10
compass,deepseek,9_ref,10
compass,deepseek_small,1,31
compass,deepseek_small,10,32
compass,deepseek_small,10_opp,31
compass,deepseek_small,10_ref,34
compass,deepseek_small,11,38
compass,deepseek_small,11_opp,36
compass,deepseek_small,11_ref,34
compass,deepseek_small,12,20
compass,deepseek_small,12_opp,27
compass,deepseek_small,12_ref,29
compass,deepseek_small,13,37
compass,deepseek_small,13_opp,36
compass,deepseek_small,13_ref,35
compass,deepseek_small,14,25
compass,deepseek_small,14_opp,22
compass,deepseek_small,14_ref,18
compass,deepseek_small,15,40
compass,deepseek_small,15_opp,39
compass,deepseek_small,15_ref,38
compass,deepseek_small,16,27
compass,deepseek_small,16_opp,30
compass,deepseek_small,16_ref,37
compass,deepseek_small,17,37
compass,deepseek_small,17_opp,34
compass,deepseek_small,17_ref,36
compass,deepseek_small,18,22
compass,deepseek_small,18_opp,31
compass,deepseek_small,18_ref,27
compass,deepseek_small,19,25
compass,deepseek_small,19_opp,31
compass,deepseek_small,19_ref,26
compass,deepseek_small,1_opp,33
compass,deepseek_small,1_ref,28
compass,deepseek_small,2,38
compass,deepseek_small,20,35
compass,deepseek_small,20_opp,17
compass,deepseek_small,20_ref,31
compass,deepseek_small,21,32
compass,deepseek_small,21_opp,35
compass,deepseek_small,21_ref,37
compass,deepseek_small,22,26
compass,deepseek_small,22_opp,31
compass,deepseek_small,22_ref,14
compass,deepseek_small,23,30
compass,deepseek_small,23_opp,34
compass,deepseek_small,23_ref,32
compass,deepseek_small,24,32
compass,deepseek_small,24_opp,30
compass,deepseek_small,24_ref,11
compass,deepseek_small,25,11
compass,deepseek_small,25_opp,19
compass,deepseek_small,25_ref,12
compass,deepseek_small,26,22
compass,deepseek_small,26_opp,18
compass,deepseek_small,26_ref,22
compass,deepseek_small,27,38
compass,deepseek_small,27_opp,38
compass,deepseek_small,27_ref,32
compass,deepseek_small,28,29
compass,deepseek_small,28_opp,31
compass,deepseek_small,28_ref,34
compass,deepseek_small,29,38
compass,deepseek_small,29_opp,32
compass,deepseek_small,29_ref,40
compass,deepseek_small,2_opp,35
compass,deepseek_small,2_ref,31
compass,deepseek_small,3,34
compass,deepseek_small,30,32
compass,deepseek_small,30_opp,31
compass,deepseek_small,30_ref,32
compass,deepseek_small,31,36
compass,deepseek_small,31_opp,32
compass,deepseek_small,31_ref,34
compass,deepseek_small,32,19
compass,deepseek_small,32_opp,21
compass,deepseek_small,32_ref,16
compass,deepseek_small,33,37
compass,deepseek_small,33_opp,36
compass,deepseek_small,33_ref,30
compass,deepseek_small,34,32
compass,deepseek_small,34_opp,35
compass,deepseek_small,34_ref,30
compass,deepseek_small,35,17
compass,deepseek_small,35_opp,21
compass,deepseek_small,35_ref,31
compass,deepseek_small,36,32
compass,deepseek_small,36_opp,33
compass,deepseek_small,36_ref,33
compass,deepseek_small,37,31
compass,deepseek_small,37_opp,35
compass,deepseek_small,37_ref,37
compass,deepseek_small,38,35
compass,deepseek_small,38_opp,39
compass,deepseek_small,38_ref,33
compass,deepseek_small,39,15
compass,deepseek_small,39_opp,14
compass,deepseek_small,39_ref,21
compass,deepseek_small,3_opp,26
compass,deepseek_small,3_ref,33
compass,deepseek_small,4,40
compass,deepseek_small,40,29
compass,deepseek_small,40_opp,34
compass,deepseek_small,40_ref,24
compass,deepseek_small,41,35
compass,deepseek_small,41_opp,40
compass,deepseek_small,41_ref,34
compass,deepseek_small,42,38
compass,deepseek_small,42_opp,24
compass,deepseek_small,42_ref,37
compass,deepseek_small,43,28
compass,deepseek_small,43_opp,28
compass,deepseek_small,43_ref,18
compass,deepseek_small,44,30
compass,deepseek_small,44_opp,20
compass,deepseek_small,44_ref,34
compass,deepseek_small,45,26
compass,deepseek_small,45_opp,29
compass,deepseek_small,45_ref,25
compass,deepseek_small,46,26
compass,deepseek_small,46_opp,25
compass,deepseek_small,46_ref,31
compass,deepseek_small,47,28
compass,deepseek_small,47_opp,37
compass,deepseek_small,47_ref,26
compass,deepseek_small,48,34
compass,deepseek_small,48_opp,31
compass,deepseek_small,48_ref,18
compass,deepseek_small,49,30
compass,deepseek_small,49_opp,25
compass,deepseek_small,49_ref,32
compass,deepseek_small,4_opp,36
compass,deepseek_small,4_ref,35
compass,deepseek_small,5,34
compass,deepseek_small,50,32
compass,deepseek_small,50_opp,36
compass,deepseek_small,50_ref,38
compass,deepseek_small,51,25
compass,deepseek_small,51_opp,32
compass,deepseek_small,51_ref,30
compass,deepseek_small,52,31
compass,deepseek_small,52_opp,39
compass,deepseek_small,52_ref,30
compass,deepseek_small,53,30
compass,deepseek_small,53_opp,36
compass,deepseek_small,53_ref,30
compass,deepseek_small,54,15
compass,deepseek_small,54_opp,24
compass,deepseek_small,54_ref,15
compass,deepseek_small,55,30
compass,deepseek_small,55_opp,28
compass,deepseek_small,55_ref,32
compass,deepseek_small,56,30
compass,deepseek_small,56_opp,30
compass,deepseek_small,56_ref,11
compass,deepseek_small,57,25
compass,deepseek_small,57_opp,31
compass,deepseek_small,57_ref,30
compass,deepseek_small,58,39
compass,deepseek_small,58_opp,35
compass,deepseek_small,58_ref,35
compass,deepseek_small,59,21
compass,deepseek_small,59_opp,17
compass,deepseek_small,59_ref,27
compass,deepseek_small,5_opp,36
compass,deepseek_small,5_ref,37
compass,deepseek_small,6,24
compass,deepseek_small,60,31
compass,deepseek_small,60_opp,27
compass,deepseek_small,60_ref,23
compass,deepseek_small,61,35
compass,deepseek_small,61_opp,29
compass,deepseek_small,61_ref,26
compass,deepseek_small,62,26
compass,deepseek_small,62_opp,28
compass,deepseek_small,62_ref,16
compass,deepseek_small,6_opp,21
compass,deepseek_small,6_ref,21
compass,deepseek_small,7,31
compass,deepseek_small,7_opp,34
compass,deepseek_small,7_ref,22
compass,deepseek_small,8,30
compass,deepseek_small,8_opp,30
compass,deepseek_small,8_ref,25
compass,deepseek_small,9,29
compass,deepseek_small,9_opp,32
compass,deepseek_small,9_ref,23
compass,gpt-oss,1,39
compass,gpt-oss,10,39
compass,gpt-oss,10_opp,40
compass,gpt-oss,10_ref,40
compass,gpt-oss,11,40
compass,gpt-oss,11_opp,40
compass,gpt-oss,11_ref,40
compass,gpt-oss,12,40
compass,gpt-oss,12_opp,40
compass,gpt-oss,12_ref,38
compass,gpt-oss,13,40
compass,gpt-oss,13_opp,40
compass,gpt-oss,13_ref,40
compass,gpt-oss,14,40
compass,gpt-oss,14_opp,38
compass,gpt-oss,14_ref,36
compass,gpt-oss,15,40
compass,gpt-oss,15_opp,40
compass,gpt-oss,15_ref,40
compass,gpt-oss,16,39
compass,gpt-oss,16_opp,40
compass,gpt-oss,16_ref,40
compass,gpt-oss,17,40
compass,gpt-oss,17_opp,40
compass,gpt-oss,17_ref,40
compass,gpt-oss,18,37
compass,gpt-oss,18_opp,39
compass,gpt-oss,18_ref,37
compass,gpt-oss,19,39
compass,gpt-oss,19_opp,40
compass,gpt-oss,19_ref,39
compass,gpt-oss,1_opp,40
compass,gpt-oss,1_ref,38
compass,gpt-oss,2,40
compass,gpt-oss,20,37
compass,gpt-oss,20_opp,40
compass,gpt-oss,20_ref,38
compass,gpt-oss,21,38
compass,gpt-oss,21_opp,40
compass,gpt-oss,21_ref,40
compass,gpt-oss,22,39
compass,gpt-oss,22_opp,36
compass,gpt-oss,22_ref,40
compass,gpt-oss,23,40
compass,gpt-oss,23_opp,40
compass,gpt-oss,23_ref,39
compass,gpt-oss,24,38
compass,gpt-oss,24_opp,40
compass,gpt-oss,24_ref,36
compass,gpt-oss,25,39
compass,gpt-oss,25_opp,40
compass,gpt-oss,25_ref,40
compass,gpt-oss,26,39
compass,gpt-oss,26_opp,40
compass,gpt-oss,26_ref,40
compass,gpt-oss,27,40
compass,gpt-oss,27_opp,40
compass,gpt-oss,27_ref,39
compass,gpt-oss,28,37
compass,gpt-oss,28_opp,40
compass,gpt-oss,28_ref,40
compass,gpt-oss,29,40
compass,gpt-oss,29_opp,40
compass,gpt-oss,29_ref,40
compass,gpt-oss,2_opp,40
compass,gpt-oss,2_ref,40
compass,gpt-oss,3,40
compass,gpt-oss,30,40
compass,gpt-oss,30_opp,40
compass,gpt-oss,30_ref,40
compass,gpt-oss,31,40
compass,gpt-oss,31_opp,39
compass,gpt-oss,31_ref,40
compass,gpt-oss,32,39
compass,gpt-oss,32_opp,40
compass,gpt-oss,32_ref,40
compass,gpt-oss,33,39
compass,gpt-oss,33_opp,40
compass,gpt-oss,33_ref,39
compass,gpt-oss,34,37
compass,gpt-oss,34_opp,39
compass,gpt-oss,34_ref,39
compass,gpt-oss,35,40
compass,gpt-oss,35_opp,40
compass,gpt-oss,35_ref,36
compass,gpt-oss,36,40
compass,gpt-oss,36_opp,40
compass,gpt-oss,36_ref,40
compass,gpt-oss,37,40
compass,gpt-oss,37_opp,40
compass,gpt-oss,37_ref,39
compass,gpt-oss,38,40
compass,gpt-oss,38_opp,40
compass,gpt-oss,38_ref,40
compass,gpt-oss,39,40
compass,gpt-oss,39_opp,39
compass,gpt-oss,39_ref,40
compass,gpt-oss,3_opp,40
compass,gpt-oss,3_ref,40
compass,gpt-oss,4,38
compass,gpt-oss,40,38
compass,gpt-oss,40_opp,40
compass,gpt-oss,40_ref,40
compass,gpt-oss,41,40
compass,gpt-oss,41_opp,40
compass,gpt-oss,41_ref,40
compass,gpt-oss,42,40
compass,gpt-oss,42_opp,39
compass,gpt-oss,42_ref,40
compass,gpt-oss,43,40
compass,gpt-oss,43_opp,40
compass,gpt-oss,43_ref,37
compass,gpt-oss,44,40
compass,gpt-oss,44_opp,40
compass,gpt-oss,44_ref,40
compass,gpt-oss,45,40
compass,gpt-oss,45_opp,38
compass,gpt-oss,45_ref,40
compass,gpt-oss,46,40
compass,gpt-oss,46_opp,39
compass,gpt-oss,46_ref,40
compass,gpt-oss,47,40
compass,gpt-oss,47_opp,40
compass,gpt-oss,47_ref,39
compass,gpt-oss,48,40
compass,gpt-oss,48_opp,40
compass,gpt-oss,48_ref,40
compass,gpt-oss,49,40
compass,gpt-oss,49_opp,39
compass,gpt-oss,49_ref,40
compass,gpt-oss,4_opp,39
compass,gpt-oss,4_ref,38
compass,gpt-oss,5,35
compass,gpt-oss,50,40
compass,gpt-oss,50_opp,40
compass,gpt-oss,50_ref,40
compass,gpt-oss,51,37
compass,gpt-oss,51_opp,39
compass,gpt-oss,51_ref,38
compass,gpt-oss,52,39
compass,gpt-oss,52_opp,40
compass,gpt-oss,52_ref,40
compass,gpt-oss,53,39
compass,gpt-oss,53_opp,40
compass,gpt-oss,53_ref,39
compass,gpt-oss,54,39
compass,gpt-oss,54_opp,38
compass,gpt-oss,54_ref,40
compass,gpt-oss,55,32
compass,gpt-oss,55_opp,40
compass,gpt-oss,55_ref,37
compass,gpt-oss,56,36
compass,gpt-oss,56_opp,40
compass,gpt-oss,56_ref,40
compass,gpt-oss,57,40
compass,gpt-oss,57_opp,37
compass,gpt-oss,57_ref,40
compass,gpt-oss,58,40
compass,gpt-oss,58_opp,40
compass,gpt-oss,58_ref,40
compass,gpt-oss,59,40
compass,gpt-oss,59_opp,38
compass,gpt-oss,59_ref,38
compass,gpt-oss,5_opp,36
compass,gpt-oss,5_ref,37
compass,gpt-oss,6,39
compass,gpt-oss,60,40
compass,gpt-oss,60_opp,40
compass,gpt-oss,60_ref,39
compass,gpt-oss,61,38
compass,gpt-oss,61_opp,40
compass,gpt-oss,61_ref,40
compass,gpt-oss,62,40
compass,gpt-oss,62_opp,39
compass,gpt-oss,62_ref,40
compass,gpt-oss,6_opp,40
compass,gpt-oss,6_ref,38
compass,gpt-oss,7,40
compass,gpt-oss,7_opp,39
compass,gpt-oss,7_ref,39
compass,gpt-oss,8,39
compass,gpt-oss,8_opp,38
compass,gpt-oss,8_ref,39
compass,gpt-oss,9,40
compass,gpt-oss,9_opp,37
compass,gpt-oss,9_ref,38
compass,gpt4,1,40
compass,gpt4,10,40
compass,gpt4,10_opp,10
compass,gpt4,10_ref,10
compass,gpt4,11,40
compass,gpt4,11_opp,10
compass,gpt4,11_ref,10
compass,gpt4,12,40
compass,gpt4,12_opp,10
compass,gpt4,12_ref,10
compass,gpt4,13,40
compass,gpt4,13_opp,10
compass,gpt4,13_ref,10
compass,gpt4,14,40
compass,gpt4,14_opp,10
compass,gpt4,14_ref,10
compass,gpt4,15,40
compass,gpt4,15_opp,10
compass,gpt4,15_ref,10
compass,gpt4,16,40
compass,gpt4,16_opp,10
compass,gpt4,16_ref,10
compass,gpt4,17,40
compass,gpt4,17_opp,10
compass,gpt4,17_ref,10
compass,gpt4,18,40
compass,gpt4,18_opp,10
compass,gpt4,18_ref,10
compass,gpt4,19,40
compass,gpt4,19_opp,10
compass,gpt4,19_ref,10
compass,gpt4,1_opp,10
compass,gpt4,1_ref,10
compass,gpt4,2,40
compass,gpt4,20,40
compass,gpt4,20_opp,10
compass,gpt4,20_ref,10
compass,gpt4,21,40
compass,gpt4,21_opp,10
compass,gpt4,21_ref,10
compass,gpt4,22,40
compass,gpt4,22_opp,10
compass,gpt4,22_ref,10
compass,gpt4,23,40
compass,gpt4,23_opp,10
compass,gpt4,23_ref,10
compass,gpt4,24,40
compass,gpt4,24_opp,10
compass,gpt4,24_ref,10
compass,gpt4,25,40
compass,gpt4,25_opp,10
compass,gpt4,25_ref,10
compass,gpt4,26,40
compass,gpt4,26_opp,10
compass,gpt4,26_ref,10
compass,gpt4,27,40
compass,gpt4,27_opp,10
compass,gpt4,27_ref,10
compass,gpt4,28,40
compass,gpt4,28_opp,10
compass,gpt4,28_ref,10
compass,gpt4,29,40
compass,gpt4,29_opp,10
compass,gpt4,29_ref,10
compass,gpt4,2_opp,10
compass,gpt4,2_ref,10
compass,gpt4,3,40
compass,gpt4,30,40
compass,gpt4,30_opp,10
compass,gpt4,30_ref,10
compass,gpt4,31,40
compass,gpt4,31_opp,10
compass,gpt4,31_ref,10
compass,gpt4,32,40
compass,gpt4,32_opp,10
compass,gpt4,32_ref,10
compass,gpt4,33,40
compass,gpt4,33_opp,10
compass,gpt4,33_ref,10
compass,gpt4,34,40
compass,gpt4,34_opp,10
compass,gpt4,34_ref,10
compass,gpt4,35,40
compass,gpt4,35_opp,10
compass,gpt4,35_ref,10
compass,gpt4,36,40
compass,gpt4,36_opp,10
compass,gpt4,36_ref,10
compass,gpt4,37,40
compass,gpt4,37_opp,10
compass,gpt4,37_ref,10
compass,gpt4,38,40
compass,gpt4,38_opp,10
compass,gpt4,38_ref,10
compass,gpt4,39,40
compass,gpt4,39_opp,10
compass,gpt4,39_ref,10
compass,gpt4,3_opp,10
compass,gpt4,3_ref,10
compass,gpt4,4,40
compass,gpt4,40,40
compass,gpt4,40_opp,10
compass,gpt4,40_ref,10
compass,gpt4,41,40
compass,gpt4,41_opp,10
compass,gpt4,41_ref,10
compass,gpt4,42,40
compass,gpt4,42_opp,10
compass,gpt4,42_ref,10
compass,gpt4,43,40
compass,gpt4,43_opp,10
compass,gpt4,43_ref,10
compass,gpt4,44,40
compass,gpt4,44_opp,10
compass,gpt4,44_ref,10
compass,gpt4,45,40
compass,gpt4,45_opp,10
compass,gpt4,45_ref,10
compass,gpt4,46,40
compass,gpt4,46_opp,10
compass,gpt4,46_ref,10
compass,gpt4,47,40
compass,gpt4,47_opp,10
compass,gpt4,47_ref,10
compass,gpt4,48,40
compass,gpt4,48_opp,10
compass,gpt4,48_ref,10
compass,gpt4,49,40
compass,gpt4,49_opp,10
compass,gpt4,49_ref,10
compass,gpt4,4_opp,10
compass,gpt4,4_ref,10
compass,gpt4,5,40
compass,gpt4,50,40
compass,gpt4,50_opp,10
compass,gpt4,50_ref,10
compass,gpt4,51,40
compass,gpt4,51_opp,10
compass,gpt4,51_ref,10
compass,gpt4,52,40
compass,gpt4,52_opp,10
compass,gpt4,52_ref,10
compass,gpt4,53,40
compass,gpt4,53_opp,10
compass,gpt4,53_ref,10
compass,gpt4,54,40
compass,gpt4,54_opp,10
compass,gpt4,54_ref,10
compass,gpt4,55,40
compass,gpt4,55_opp,10
compass,gpt4,55_ref,10
compass,gpt4,56,40
compass,gpt4,56_opp,10
compass,gpt4,56_ref,10
compass,gpt4,57,40
compass,gpt4,57_opp,10
compass,gpt4,57_ref,10
compass,gpt4,58,40
compass,gpt4,58_opp,10
compass,gpt4,58_ref,10
compass,gpt4,59,40
compass,gpt4,59_opp,10
compass,gpt4,59_ref,10
compass,gpt4,5_opp,10
compass,gpt4,5_ref,10
compass,gpt4,6,40
compass,gpt4,60,40
compass,gpt4,60_opp,10
compass,gpt4,60_ref,10
compass,gpt4,61,40
compass,gpt4,61_opp,10
compass,gpt4,61_ref,10
compass,gpt4,62,40
compass,gpt4,62_opp,10
compass,gpt4,62_ref,10
compass,gpt4,6_opp,10
compass,gpt4,6_ref,10
compass,gpt4,7,40
compass,gpt4,7_opp,10
compass,gpt4,7_ref,10
compass,gpt4,8,40
compass,gpt4,8_opp,10
compass,gpt4,8_ref,10
compass,gpt4,9,40
compass,gpt4,9_opp,10
compass,gpt4,9_ref,10
compass,grok,1,40
compass,grok,10,40
compass,grok,10_ref,10
compass,grok,11,40
compass,grok,11_opp,10
compass,grok,12,40
compass,grok,12_opp,10
compass,grok,12_ref,10
compass,grok,13,40
compass,grok,13_opp,10
compass,grok,13_ref,10
compass,grok,14,40
compass,grok,14_opp,10
compass,grok,14_ref,10
compass,grok,15,40
compass,grok,15_ref,10
compass,grok,16,40
compass,grok,16_opp,10
compass,grok,17,40
compass,grok,17_ref,10
compass,grok,18,40
compass,grok,18_opp,10
compass,grok,18_ref,10
compass,grok,19,40
compass,grok,19_ref,10
compass,grok,1_opp,10
compass,grok,2,40
compass,grok,20,40
compass,grok,20_opp,10
compass,grok,20_ref,10
compass,grok,21,40
compass,grok,21_opp,10
